glottocode,name,isocodes,level,macroarea,latitude,longitude
amar1272,Amara,aie,language,Papunesia,-5.55778,148.68
amar1281,Amara (Beja),,dialect,Africa,,
amar1274,Amarakaeri,amr,language,South America,-12.4931,-70.5533
amar1273,Amarasi,aaz,language,Papunesia,-10.21751,123.96373
amar1241,Amariba,,dialect,South America,,
amar1275,Amaruwa,,dialect,South America,,
amas1236,Ama (Sudan),nyi,language,Africa,12.0993,29.4332
amat1238,Amatlán Zapotec,zpo,language,North America,16.2707,-96.4003
amay1238,Amayo,,dialect,Africa,,
amba1265,Ambai,amk,language,Papunesia,-1.88126,136.526
amba1269,Ambakich,aew,language,Papunesia,-4.23181,144.285
amba1267,Ambala Ayta,abc,language,Papunesia,14.8156,120.283
amba1268,Ambasi,,dialect,Papunesia,,
amba1266,Amba (Solomon Islands),utp,language,Papunesia,-11.2958,166.498
amba1263,Amba (Uganda),rwm,language,Africa,0.81206,30.0014
amba1264,Ambawang,,dialect,Papunesia,,
ambe1248,Ambelau,amv,language,Papunesia,-3.85919,127.196
ambe1247,Ambele,ael,language,Africa,5.94043,9.62028
ambe1246,Ambermo,,language,Papunesia,,
ambl1237,Amblong,alm,language,Papunesia,-15.5169,166.95
ambo1249,Ambo,amb,language,Africa,7.07637,10.7798
ambo1247,Ambodi,,dialect,Eurasia,,
ambo1248,Ambo (Lala-Bisa),,dialect,Africa,,
ambo1250,Ambonese Malay,abs,language,Papunesia,-3.71342,128.184
ambo1252,Ambo-Pasco Quechua,qva,language,South America,-10.5138,-76.1135
ambr1239,Ambrak,aag,language,Papunesia,-3.61,142.56
ambu1245,Ambual,,dialect,Papunesia,,
ambu1247,Ambulas,abt,language,Papunesia,-3.7801,143.059
ambu1244,Ambumi,,dialect,Papunesia,,
amda1238,Amdang,amj,language,Africa,14.7528,20.8912
amdo1237,Amdo Tibetan,adx,language,Eurasia,34.5177,100.485
amel1241,Amele,aey,language,Papunesia,-5.29126,145.687
amen1242,Amenfi,,dialect,Africa,,
amen1243,Amengi,,dialect,Africa,,
amer1256,Amerax,aex,language,,,
amer1255,American Indian Pidgin English,,language,North America,,
amer1248,American Sign Language,ase,language,North America,33.8117,-81.6121
amer1254,American Spanish,,dialect,Eurasia,,
amfo1237,Amfoan-Fatule'u-Amabi,,dialect,Papunesia,,
amga1235,Amganad Ifugao,ifa,language,Papunesia,16.9016,121.042
amha1245,Amharic,amh,language,Africa,11.708182,39.543456
amii1238,Ami,amy,language,Australia,-13.5573,130.04
amie1238,Amienois,,dialect,Eurasia,,
amik1238,Amikoana,akn,language,,,
amis1246,Amis,ami,language,Papunesia,23.0917,121.348
amis1245,Amish Pennsylvania German,,dialect,Eurasia,,
hoaa1235,Amkoe,huc,language,Africa,-23.93447,24.69828
amkw1238,|Amkwe,,dialect,Africa,,
ammo1234,Ammonite,qgg,language,Eurasia,,
amoo1242,Amo,amo,language,Africa,10.3229,8.65405
amol1236,Amoltepec Mixtec,mbz,language,North America,16.6521,-97.4518
amon1239,Amongme,,dialect,Papunesia,,
amor1239,Amorite,,language,Eurasia,,
amor1238,Amorua,,dialect,South America,,
amot1240,Amota,,dialect,Papunesia,,
amot1239,Amotomanco,,language,North America,,
amou1238,Amou Oblou,,dialect,Africa,,
ampa1239,Ampanang,apg,language,Papunesia,-0.79259,116.349
